total_cells,ff_cells,logic_cells,mux_cells,buf_cells,wires,wire_bits,memory_bits,register_bits,clock_domains,approx_cc,nesting_depth,port_count,always_blocks,area_um2,power_uw,delay_ps,source
97,37,39,12,9,62,123,0,43,1,12,3,13,1,505.21,26.0484,543,test_spi_master.v
102,28,56,9,9,74,126,0,33,1,13,3,7,1,526.08,26.6944,663,test_uart_tx.v
8,8,0,0,0,6,26,0,24,1,2,1,6,1,156.36,8.3776,86,test_width_mismatch_bug.v
1,0,0,0,1,2,2,0,0,0,1,0,2,0,1.63,0.1472,38,verilog_eval_dataset_code-complete-iccad2023_Prob005_notgate_ref.sv
5,0,5,0,0,5,8,0,0,0,1,0,2,0,20.65,1.286,256,verilog_eval_dataset_code-complete-iccad2023_Prob009_popcount3_ref.sv
1,0,0,0,1,3,3,0,0,0,1,0,3,0,3.35,0.2172,62,verilog_eval_dataset_code-complete-iccad2023_Prob010_mt2015_q4a_ref.sv
1,0,1,0,0,3,3,0,0,0,1,0,3,0,2.52,0.1972,56,verilog_eval_dataset_code-complete-iccad2023_Prob011_norgate_ref.sv
1,0,1,0,0,3,3,0,0,0,1,0,3,0,5.86,0.3472,102,verilog_eval_dataset_code-complete-iccad2023_Prob012_xnorgate_ref.sv
1,0,1,0,0,3,3,0,0,0,1,0,3,0,3.35,0.2172,68,verilog_eval_dataset_code-complete-iccad2023_Prob014_andgate_ref.sv
17,0,17,0,0,15,25,0,0,0,1,0,3,0,78.06,4.4224,441,verilog_eval_dataset_code-complete-iccad2023_Prob016_m2014_q4j_ref.sv
100,0,0,100,0,4,301,0,0,0,1,0,4,0,692.83,29.72,879,verilog_eval_dataset_code-complete-iccad2023_Prob017_mux2to1v_ref.sv
525,0,311,120,94,527,789,0,0,0,1,0,3,0,2697.03,120.83,976,verilog_eval_dataset_code-complete-iccad2023_Prob018_mux256to1_ref.sv
3,0,3,0,0,5,7,0,0,0,1,0,3,0,15.99,0.9116,181,verilog_eval_dataset_code-complete-iccad2023_Prob020_mt2015_eq2_ref.sv
2127,0,1443,470,214,2126,3159,0,0,0,1,0,3,0,11531.61,484.0744,1227,verilog_eval_dataset_code-complete-iccad2023_Prob021_mux256to1v_ref.sv
1,0,0,1,0,4,4,0,0,0,1,0,4,0,5.12,0.2972,92,verilog_eval_dataset_code-complete-iccad2023_Prob022_mux2to1_ref.sv
2,0,2,0,0,4,4,0,0,0,1,0,4,0,9.39,0.5644,87,verilog_eval_dataset_code-complete-iccad2023_Prob024_hadd_ref.sv
7,0,7,0,0,8,15,0,0,0,1,0,2,0,46.05,2.4304,344,verilog_eval_dataset_code-complete-iccad2023_Prob025_reduction_ref.sv
1,0,1,0,0,4,4,0,1,0,1,0,4,1,3.41,0.2172,69,verilog_eval_dataset_code-complete-iccad2023_Prob026_alwaysblock1_ref.sv
5,0,5,0,0,8,8,0,0,0,1,0,5,0,20.65,1.286,256,verilog_eval_dataset_code-complete-iccad2023_Prob027_fadd_ref.sv
1,1,0,0,0,3,3,0,1,1,1,0,3,1,15.06,0.9472,204,verilog_eval_dataset_code-complete-iccad2023_Prob031_dff_ref.sv
37,0,36,1,0,33,62,0,0,0,1,0,4,0,180.07,9.5564,594,verilog_eval_dataset_code-complete-iccad2023_Prob033_ece241_2014_q1c_ref.sv
8,8,0,0,0,3,17,0,8,1,1,0,3,1,136.43,7.5776,232,verilog_eval_dataset_code-complete-iccad2023_Prob034_dff8_ref.sv
14,4,7,0,3,11,20,0,4,1,2,1,3,1,117.07,6.4608,330,verilog_eval_dataset_code-complete-iccad2023_Prob035_count1to10_ref.sv
2,0,1,0,1,4,4,0,0,0,1,0,4,0,6.83,0.4344,66,verilog_eval_dataset_code-complete-iccad2023_Prob036_ringer_ref.sv
37,10,23,0,4,22,49,0,10,1,2,1,3,1,377.38,19.2864,439,verilog_eval_dataset_code-complete-iccad2023_Prob037_review2015_count1k_ref.sv
10,4,5,0,1,7,16,0,4,1,2,1,3,1,118.87,6.592,250,verilog_eval_dataset_code-complete-iccad2023_Prob038_count15_ref.sv
2,0,1,1,0,7,7,0,1,0,1,0,6,1,8.88,0.5144,84,verilog_eval_dataset_code-complete-iccad2023_Prob039_always_if_ref.sv
14,4,7,0,3,11,20,0,4,1,2,1,3,1,136.17,7.4608,329,verilog_eval_dataset_code-complete-iccad2023_Prob040_count10_ref.sv
8,8,0,0,0,4,18,0,8,1,2,1,4,1,182.67,9.9776,84,verilog_eval_dataset_code-complete-iccad2023_Prob041_dff8r_ref.sv
10,0,10,0,0,6,30,0,0,0,1,0,6,0,69.19,3.472,483,verilog_eval_dataset_code-complete-iccad2023_Prob043_vector5_ref.sv
11,0,5,0,6,6,17,0,0,0,1,0,5,0,30.32,1.9692,244,verilog_eval_dataset_code-complete-iccad2023_Prob044_vectorgates_ref.sv
24,16,8,0,0,5,33,0,16,1,1,0,3,1,342.05,17.9328,547,verilog_eval_dataset_code-complete-iccad2023_Prob045_edgedetect2_ref.sv
8,8,0,0,0,4,18,0,8,1,2,1,4,1,31.07,1.9776,84,verilog_eval_dataset_code-complete-iccad2023_Prob046_dff8p_ref.sv
8,8,0,0,0,4,18,0,8,2,2,1,4,1,152.23,8.3776,84,verilog_eval_dataset_code-complete-iccad2023_Prob047_dff8ar_ref.sv
2,0,2,0,0,5,5,0,0,0,1,0,4,0,6.93,0.4344,70,verilog_eval_dataset_code-complete-iccad2023_Prob050_kmap1_ref.sv
9,0,9,0,0,10,13,0,0,0,1,0,4,0,39.05,2.2848,343,verilog_eval_dataset_code-complete-iccad2023_Prob051_gates4_ref.sv
297,0,297,0,0,298,397,0,0,0,1,0,4,0,1642.66,74.9184,959,verilog_eval_dataset_code-complete-iccad2023_Prob052_gates100_ref.sv
24,16,0,0,8,5,33,0,16,1,1,0,3,1,318.14,16.8928,476,verilog_eval_dataset_code-complete-iccad2023_Prob054_edgedetect_ref.sv
3,1,0,1,1,6,6,0,1,1,1,0,4,1,22.83,1.3916,117,verilog_eval_dataset_code-complete-iccad2023_Prob056_ece241_2013_q7_ref.sv
7,0,7,0,0,11,11,0,0,0,1,0,5,0,23.87,1.4804,212,verilog_eval_dataset_code-complete-iccad2023_Prob057_kmap2_ref.sv
2,1,1,0,0,6,6,0,2,1,1,0,6,2,21.96,1.2944,161,verilog_eval_dataset_code-complete-iccad2023_Prob058_alwaysblock2_ref.sv
4,4,0,0,0,5,8,0,0,0,1,0,0,0,14.64,0.9888,79,verilog_eval_dataset_code-complete-iccad2023_Prob060_m2014_q4k_ref.sv
3,1,1,1,0,8,8,0,1,1,3,2,6,1,28.69,1.6616,83,verilog_eval_dataset_code-complete-iccad2023_Prob061_2014_q4a_ref.sv
8,0,0,8,0,4,25,0,8,0,1,0,4,0,46.77,2.3776,318,verilog_eval_dataset_code-complete-iccad2023_Prob062_bugs_mux2_ref.sv
18,4,8,2,4,16,22,0,4,1,3,2,5,1,144.85,7.9396,325,verilog_eval_dataset_code-complete-iccad2023_Prob063_review2015_shiftcount_ref.sv
6,0,6,0,0,14,14,0,0,0,1,0,10,0,20.56,1.2632,209,verilog_eval_dataset_code-complete-iccad2023_Prob065_7420_ref.sv
128,64,32,0,32,69,162,0,0,0,1,0,0,0,1775.03,84.1216,815,verilog_eval_dataset_code-complete-iccad2023_Prob066_edgecapture_ref.sv
15,4,10,0,1,15,18,0,4,1,4,3,4,1,61.24,3.638,325,verilog_eval_dataset_code-complete-iccad2023_Prob067_countslow_ref.sv
1,0,0,1,0,4,4,0,0,0,1,0,4,0,5.12,0.2972,92,verilog_eval_dataset_code-complete-iccad2023_Prob069_truthtable1_ref.sv
5,0,4,0,1,10,10,0,0,0,1,0,6,0,17.32,1.066,209,verilog_eval_dataset_code-complete-iccad2023_Prob070_ece241_2013_q2_ref.sv
17,0,15,0,2,16,25,0,3,0,1,0,2,1,55.62,3.4724,364,verilog_eval_dataset_code-complete-iccad2023_Prob071_always_casez_ref.sv
4,0,3,0,1,8,8,0,0,0,1,0,7,0,14.34,0.8688,142,verilog_eval_dataset_code-complete-iccad2023_Prob072_thermostat_ref.sv
16,16,0,0,0,5,36,0,16,1,4,2,5,1,65.33,3.9552,88,verilog_eval_dataset_code-complete-iccad2023_Prob073_dff16e_ref.sv
8,3,2,0,3,6,10,0,3,1,1,0,3,1,69.27,4.0376,319,verilog_eval_dataset_code-complete-iccad2023_Prob074_ece241_2014_q4_ref.sv
53,0,48,0,5,57,80,0,4,0,8,0,8,1,193.82,10.9316,464,verilog_eval_dataset_code-complete-iccad2023_Prob076_always_case_ref.sv
4,0,4,0,0,8,8,0,0,0,1,0,6,0,11.67,0.8088,134,verilog_eval_dataset_code-complete-iccad2023_Prob077_wire_decl_ref.sv
3,2,0,1,0,5,5,0,3,1,1,0,3,3,36.4,2.1916,172,verilog_eval_dataset_code-complete-iccad2023_Prob078_dualedge_ref.sv
7,0,5,0,2,7,13,0,4,0,1,0,4,0,22.32,1.4404,208,verilog_eval_dataset_code-complete-iccad2023_Prob079_fsm3onehot_ref.sv
8,0,8,0,0,18,18,0,0,0,1,0,12,0,24.78,1.6176,213,verilog_eval_dataset_code-complete-iccad2023_Prob081_7458_ref.sv
1,0,1,0,0,3,3,0,0,0,1,0,3,0,5.86,0.3472,102,verilog_eval_dataset_code-complete-iccad2023_Prob083_mt2015_q4b_ref.sv
15,8,0,7,0,14,21,0,9,1,2,1,7,1,209.76,11.258,284,verilog_eval_dataset_code-complete-iccad2023_Prob084_ece241_2013_q12_ref.sv
9,4,2,3,0,8,17,0,4,2,4,3,6,1,40.1,2.3148,256,verilog_eval_dataset_code-complete-iccad2023_Prob085_shift4_ref.sv
7,0,6,0,1,9,9,0,0,0,1,0,9,0,28.96,1.7404,239,verilog_eval_dataset_code-complete-iccad2023_Prob087_gates_ref.sv
3,1,2,0,0,6,6,0,1,2,4,1,4,1,27.22,1.6116,85,verilog_eval_dataset_code-complete-iccad2023_Prob088_ece241_2014_q5b_ref.sv
7,3,2,1,1,9,11,0,2,2,5,1,4,1,56.97,3.2904,160,verilog_eval_dataset_code-complete-iccad2023_Prob089_ece241_2014_q5a_ref.sv
1,0,1,0,0,3,3,0,0,0,1,0,3,0,3.35,0.2172,68,verilog_eval_dataset_code-complete-iccad2023_Prob090_circuit1_ref.sv
5,0,5,0,0,7,12,0,0,0,1,0,4,0,15.72,1.026,207,verilog_eval_dataset_code-complete-iccad2023_Prob091_2012_q2b_ref.sv
298,0,298,0,0,4,398,0,0,0,1,0,4,0,1754.18,77.7256,1007,verilog_eval_dataset_code-complete-iccad2023_Prob092_gatesv100_ref.sv
3,0,2,0,1,3,6,0,0,0,1,0,3,0,8.78,0.5816,123,verilog_eval_dataset_code-complete-iccad2023_Prob093_ece241_2014_q3_ref.sv
10,0,10,0,0,4,14,0,0,0,1,0,4,0,48.6,2.692,355,verilog_eval_dataset_code-complete-iccad2023_Prob094_gatesv_ref.sv
2,1,0,0,1,4,4,0,1,1,1,0,3,1,17.07,1.0944,124,verilog_eval_dataset_code-complete-iccad2023_Prob098_circuit7_ref.sv
5,0,4,0,1,7,12,0,0,0,1,0,4,0,15.72,1.026,202,verilog_eval_dataset_code-complete-iccad2023_Prob099_m2014_q6c_ref.sv
1,0,1,0,0,5,5,0,0,0,1,0,5,0,3.47,0.2172,70,verilog_eval_dataset_code-complete-iccad2023_Prob101_circuit4_ref.sv
3,0,3,0,0,7,7,0,0,0,1,0,5,0,10.65,0.6516,144,verilog_eval_dataset_code-complete-iccad2023_Prob102_circuit3_ref.sv
3,0,3,0,0,7,7,0,0,0,1,0,5,0,18.66,1.0416,217,verilog_eval_dataset_code-complete-iccad2023_Prob103_circuit2_ref.sv
2,1,0,1,0,6,6,0,1,1,1,0,5,1,21.07,1.2444,155,verilog_eval_dataset_code-complete-iccad2023_Prob104_mt2015_muxdff_ref.sv
304,100,2,200,2,110,408,0,100,1,4,3,5,1,4018.32,174.9888,757,verilog_eval_dataset_code-complete-iccad2023_Prob105_rotate100_ref.sv
27,0,19,0,8,28,43,0,4,0,5,0,5,1,106.4,5.8044,379,verilog_eval_dataset_code-complete-iccad2023_Prob106_always_nolatches_ref.sv
1534,512,510,512,0,515,2048,0,512,1,2,1,4,1,20547.67,814.2048,2056,verilog_eval_dataset_code-complete-iccad2023_Prob108_rule90_ref.sv
6,0,5,0,1,6,10,0,2,0,18,0,2,1,19.15,1.2432,209,verilog_eval_dataset_code-complete-iccad2023_Prob112_always_case2_ref.sv
41,0,35,0,6,39,49,0,5,0,12,0,3,1,150.43,8.5652,459,verilog_eval_dataset_code-complete-iccad2023_Prob114_bugs_case_ref.sv
655,64,524,10,57,534,724,0,64,1,8,2,6,1,4255.9,196.526,984,verilog_eval_dataset_code-complete-iccad2023_Prob115_shift18_ref.sv
10,3,4,0,3,10,16,0,3,1,3,2,3,1,79.32,4.452,236,verilog_eval_dataset_code-complete-iccad2023_Prob117_circuit9_ref.sv
3,0,3,0,0,7,7,0,1,0,17,0,5,1,18.66,1.0416,217,verilog_eval_dataset_code-complete-iccad2023_Prob122_kmap4_ref.sv
63,0,56,0,7,59,80,0,9,0,3,0,5,1,306.1,15.8936,550,verilog_eval_dataset_code-complete-iccad2023_Prob123_bugs_addsubz_ref.sv
3065,512,1786,512,255,2046,3579,0,512,1,2,1,4,1,24620.8,1031.988,1654,verilog_eval_dataset_code-complete-iccad2023_Prob124_rule110_ref.sv
2,0,1,0,1,6,6,0,1,0,17,0,5,1,7.02,0.4344,68,verilog_eval_dataset_code-complete-iccad2023_Prob125_kmap3_ref.sv
34,0,19,6,9,20,37,0,16,0,9,0,2,1,130.39,7.4248,496,verilog_eval_dataset_code-complete-iccad2023_Prob126_circuit6_ref.sv
39,0,35,0,4,41,59,0,4,0,6,0,6,1,140.0,8.0508,454,verilog_eval_dataset_code-complete-iccad2023_Prob130_circuit5_ref.sv
1,0,0,0,1,3,3,0,0,0,1,0,3,0,3.35,0.2172,62,verilog_eval_dataset_code-complete-iccad2023_Prob131_mt2015_q4_ref.sv
1,0,1,0,0,5,5,0,2,0,3,1,5,2,2.61,0.1972,58,verilog_eval_dataset_code-complete-iccad2023_Prob132_always_if2_ref.sv
31,10,18,0,3,28,37,0,0,0,1,0,0,0,258.65,13.9132,552,verilog_eval_dataset_code-complete-iccad2023_Prob140_fsm_hdlc_ref.sv
113,25,68,0,20,96,123,0,25,1,16,4,7,1,511.15,26.4336,636,verilog_eval_dataset_code-complete-iccad2023_Prob141_count_clock_ref.sv
19,0,16,0,3,12,30,0,0,0,1,0,5,0,70.14,4.0268,369,verilog_eval_dataset_code-complete-iccad2023_Prob143_fsm_onehot_ref.sv
2,2,0,0,0,4,4,0,2,1,2,1,4,2,27.31,1.6944,142,verilog_eval_dataset_code-complete-iccad2023_Prob145_circuit8_ref.sv
7,1,6,0,0,11,11,0,1,1,1,0,5,1,37.65,2.3004,355,verilog_eval_dataset_code-complete-iccad2023_Prob147_circuit10_ref.sv
24,4,15,0,5,25,32,0,0,0,1,0,0,0,145.86,8.0328,491,verilog_eval_dataset_code-complete-iccad2023_Prob148_2013_q2afsm_ref.sv
14,0,11,0,3,21,30,0,0,0,1,0,12,0,47.45,2.8808,295,verilog_eval_dataset_code-complete-iccad2023_Prob150_review2015_fsmonehot_ref.sv
8,8,0,0,0,3,17,0,8,1,1,0,3,1,136.43,7.5776,232,verilog_eval_dataset_spec-to-rtl_Prob034_dff8_ref.sv
298,0,298,0,0,4,400,0,0,0,1,0,4,0,1754.73,77.7256,1007,verilog_eval_dataset_spec-to-rtl_Prob092_gatesv100_ref.sv
10,0,10,0,0,4,16,0,0,0,1,0,4,0,49.07,2.692,359,verilog_eval_dataset_spec-to-rtl_Prob094_gatesv_ref.sv
5,0,4,0,1,7,12,0,0,0,1,0,4,0,15.72,1.026,202,verilog_eval_dataset_spec-to-rtl_Prob099_m2014_q6c_ref.sv
24,4,15,0,5,25,32,0,0,0,1,0,0,0,145.86,8.0328,491,verilog_eval_dataset_spec-to-rtl_Prob148_2013_q2afsm_ref.sv
